  213161553 function calls (209607226 primitive calls) in 191.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4411886/4411211    1.763    0.000    2.928    0.000 {built-in method builtins.getattr}
    43310    0.316    0.000    2.831    0.000 cursors.py:116(_escape_args)
      164    0.003    0.000    2.798    0.017 cache_manager.py:50(clear_global_cache)
    56342    0.613    0.000    2.789    0.000 connections.py:744(_execute_command)
       83    0.000    0.000    2.693    0.032 database.py:709(set_default)
       83    0.001    0.000    2.693    0.032 defaults.py:112(set_default)
    18582    0.027    0.000    2.672    0.000 meta.py:158(get_global_search_fields)
   115004    2.602    0.000    2.602    0.000 {method 'sendall' of '_socket.socket' objects}
  3701921    1.418    0.000    2.563    0.000 connections.py:1137(_check_packet_is_eof)
  3986434    1.364    0.000    2.556    0.000 protocol.py:214(check_error)
        4    0.000    0.000    2.535    0.634 naming_series.py:177(set_by_naming_series)
    18605    0.037    0.000    2.533    0.000 base_document.py:684(_save_passwords)
     2242    0.020    0.000    2.509    0.001 notifications.py:136(delete_notification_count_for)
     2424    0.021    0.000    2.476    0.001 database.py:744(flush_realtime_log)
  2988395    1.351    0.000    2.432    0.000 six.py:588(iteritems)
        7    0.000    0.000    2.425    0.346 fixtures.py:9(sync_fixtures)
        7    0.000    0.000    2.419    0.346 custom_field.py:111(create_custom_field)
        7    0.000    0.000    2.418    0.345 data_import.py:176(import_doc)
    18605    0.045    0.000    2.413    0.000 base_document.py:830(_extract_images_from_text_editor)
    24605    0.077    0.000    2.394    0.000 document.py:773(get_all_children)
   742035    0.270    0.000    2.359    0.000 cursors.py:122(<genexpr>)
    57809    0.088    0.000    2.347    0.000 connection.py:608(send_command)
  2921001    1.077    0.000    2.262    0.000 data.py:895(compare)
       83    0.000    0.000    2.258    0.027 defaults.py:223(_clear_cache)
   729967    0.280    0.000    2.205    0.000 connections.py:462(literal)
         118    0.119    0.001    2.200    0.019 doctype.py:678(validate_fields)
 14156320    2.156    0.000    2.157    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    2.133    1.067 data_migration_plan.py:13(on_update)
        2    0.000    0.000    2.133    1.067 data_migration_plan.py:32(make_custom_fields_for_mappings)
     6329    0.012    0.000    2.116    0.000 redis_wrapper.py:111(delete_key)
5630/2823    0.035    0.000    2.082    0.001 <frozen importlib._bootstrap>:978(_find_and_load)
        9    0.000    0.000    2.034    0.226 custom_field.py:56(on_update)
    56348    0.114    0.000    2.022    0.000 connections.py:710(_write_bytes)
3822/1015    0.023    0.000    1.982    0.002 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  6561282    1.975    0.000    1.975    0.000 protocol.py:117(read_uint8)
        1    0.000    0.000    1.953    1.953 accounts_settings.py:17(validate)
        1    0.001    0.001    1.928    1.928 install.py:15(after_install)
       57    0.001    0.000    1.926    0.034 defaults.py:138(add_default)
   729971    0.629    0.000    1.925    0.000 connections.py:448(escape)
     3222    0.028    0.000    1.922    0.001 __init__.py:726(clear_document_cache)
        1    0.000    0.000    1.922    1.922 accounts_settings.py:30(enable_payment_schedule_in_print)
     3046    0.010    0.000    1.899    0.001 document.py:614(_set_defaults)
     3064    0.007    0.000    1.838    0.001 document.py:954(clear_cache)
     2076    0.011    0.000    1.830    0.001 doctype.py:367(run_module_method)
   588801    0.511    0.000    1.754    0.000 local.py:301(_get_current_object)
7901/7773    0.034    0.000    1.719    0.000 redis_wrapper.py:53(get_value)
